TITLE,"Catullus, Carmina",LOCALDEF
QVONIAM,"61_203, 64_198, 68_9, 99_15","conj., as soon as, after; because, since"
QVOQVE,"8_9, 17_22, 39_13, 61_151, 64_362, 66_43, 66_61, 107_3",also
QVOT/1,"21_2, 24_2, 42_1, 49_2, 49_2, 49_3, 7_1","indecl. adj., how many, as many"
QVOTIENS/2,71_5,"rel. as often as, whenever"
QVOTQVOT/1,42_2,"indecl. adj., whatever number, as many as"
RABIDVS,63_38,"raging, ravening, frenzied, violent"
RABIES,"63_4, 63_44, 63_57","savageness, ferocity; uncontrolled emotion, frenzy"
RADICITVS,"64_108, 64_288","by, from, or at the roots; roots and all"
RADIO,63_39,"radiate light, beam, shine"
RADIX,62_52,root
RAMNVSIVS/N,"64_395, 66_71, 68_77","of or native to Ramnus, a district of Attica (epithet of Nemesis, the Ramnusia virgo)"
RAMVLVS,61_22,"branch, twig (dim. of ramus)"
RAMVS,65_13,"branch, twig"
RAPAX,"25_4, 64_156","predatory, rapacious"
RAPHANVS,15_19,radish
RAPIDVS,"63_16, 63_34, 63_44, 63_85, 63_93, 64_358, 64_395, 66_3, 70_4","strongly flowing, swiftly moving, rapid; scorching, consuming"
RAPINA/1,33_6,plunder
RAPIO,"59_3, 61_3",seize and carry off
RAPTVS,68_87,"robbery, plunder; abduction"
RARVS,"68_136, 69_3","loosely woven; uncommon, rare; exquisite"
RASILIS,61_168,"worn smooth, polished"
RASTER,64_39,a type of hoe
RATIO,"10_29, 42_22, 64_186","account, reason; exercise of faculty of reason; business, matter, affair; method, means"
RATIS,"63_1, 64_121","raft; boat, ship"
RAVCISONVS,64_263,harsh–sounding
RAVIDVS/N,40_1,cognomen of a rival of Catullus
REBOO,63_21,"resound, reecho"
RECEDO/1,64_43,"draw back; extend backward, recede"
RECENS/1,63_7,"recent, fresh"
RECIPIO,"44_19, 63_43, 64_248","receive, take in"
RECLVDO,55_11,"open; uncover, lay bare"
RECOLO/2,63_45,reoccupy; go over in one's mind
RECONDITVS,"4_25, 34_11","hidden away, secluded"
RECOQVO,54_5,"warmed–over, rehashed"
RECORDOR,76_1,"call to mind, remember"
RECREPO,63_29,ring or sound in answer
RECTOR,64_204,"steersman, ruler"
RECTVS,"10_20, 64_289, 86_2","straight, erect, straight–limbed"
RECVMBO,17_4,recline; settle
RECVRO,44_15,restore
REDDO,"36_16, 42_4, 42_11, 42_12, 42_19, 42_20, 42_24, 50_6, 64_157, 64_166, 64_217, 64_362, 66_37, 68_150, 74_4, 76_26, 103_1","give back, restore; repay (a debt, obligation, or vow); pay (honor, tribute, etc.); render, turn something or someone into"
REDEO/1,"3_12, 5_4",return
REDIMIO,"63_3, 63_66, 64_193","wreathe, encircle"
REDITVS,"63_47, 63_79, 66_35",return
REDIVIVVS,17_3,"reused, second–hand"
REDVCO,76_11,bring back
REDVX,64_237,"brought back, returned, restored"
REFERO,"10_11, 22_6, 28_8, 46_1, 63_47, 63_75, 64_177, 97_1, 107_5","bring back; report; (reflexive) return; w/ in + abl., write down; w/ acc. & dat., put something down to, assign to a category"
REFICIO,44_16,restore
REFLAGITO,"42_6, 42_10",demand repeatedly in a loud voice
REFLECTO,"45_10, 64_112",bend back
REFRINGO,63_86,break
REFVLGEO,64_275,"shine, gleam"
REGALIS,64_46,"kingly, royal, regal"
REGIA,"64_33, 64_44",palace
REGINA,"66_19, 66_39, 66_89",queen
REGIVS,"22_6, 64_87, 64_276, 66_27, 66_93","royal; princely, splendid"
REGLVTINO,25_9,"unglue, unstick"
REGO,"64_96, 64_113","direct, manage, guide, control"
REICIO,66_81,throw back
RELEGO/1,66_5,"banish, remove from the scene"
RELIGIO,90_4,"religious scruple, taboo, or impediment; religious observance"
RELIGO/2,"63_84, 64_174","tie back, tie up; untie"
RELINQVO,"35_3, 63_6, 63_51, 64_180, 64_200, 64_299","quit, leave, forsake"
REMIGIVM,64_13,the action of rowing
REMITTO,"12_11, 25_6, 25_9","send back, return"
REMOROR/1,"61_200, 61_201","wait, linger, dally"
REMOTVS,63_58,"removed, remote, distant"
REMVGIO,63_29,boom or bellow in reply
REMVNEROR,14_20,repay
REMVS,"64_58, 64_183",oar
REMVS/N,"28_15, 58_5","brother of Romulus, legendary founder of Rome"
RENIDEO,"39_2, 39_4, 39_6, 39_7, 39_15","shine; smile back, beam"
RENOVO,96_3,"renew, restore"
REOR,63_55,"believe, think, imagine"
REPENTE,"10_3, 17_24, 63_28","suddenly, immediately"
REPERIO,"14_8, 67_13, 79_4, 87_4","find, discover"
REPONO,31_8,put back; put to rest
REPORTO,46_11,"carry back, return"
REPOSCO,50_20,"demand back; claim as one's right, demand"
REQVIESCO,"64_176, 68_5, 84_7","rest, find relief"
REQVIRO,"8_13, 58_b_6, 62_12, 62_37, 85_1, 116_1","try to find, seek, look for, ask about; need, miss"
RES,"12_5, 15_8, 22_13, 22_19, 28_4, 39_16, 56_1, 56_4, 64_136, 66_75, 68_41, 83_5, 114_2","property, wealth; thing, matter"
RESIDEO,"57_5, 64_309",remain seated; persist
RESOLVO,63_76,"loosen, undo"
RESONO/1,11_3,"echo, resound"
RESPECTO,11_21,"to keep on looking back at; wait expectantly for, count on"
RESPERGO,"64_181, 64_230","sprinkle, spatter, splash"
RESPONDEO,"10_9, 62_18","answer, reply"
RESTITVO,"36_4, 66_70, 68_4, 107_4, 107_5","rebuild; restore, cure; give back unharmed or in its original state"
RESTRINGO,64_296,"tie back, restrain with bonds"
RETICEO,68_41,"refrain from speaking, keep silent"
RETINEO,"62_22, 64_8, 64_63, 64_311",hold fast; keep
RETONO,63_82,"resound, reverberate"
RETRAHO,30_9,drag backwards; withdraw
REVERTOR,62_34,"return, come back"
REVINCIO,61_33,"hold down, attach, bind"
REVISO,"64_376, 64_387","pay another visit; go back and see, return to"
REVOCO,35_9,call back
REVS,39_2,a defendant in a trial
REX,"51_15, 64_75, 66_11",king
RHENVS/N,11_11,"the river Rhine, often regarded as forming the border between Gaul and Germany"
RHESVS/N,58_b_4,"Thracian king, brother of Hecuba, ally of Priam, in Trojan War killed by Diomedes and Ulysses"
RHODVS/N,4_8,the island of Rhodes
RHOETEVS/N,65_7,"of Rhoeteum, city on the Hellespont near Troy"
RICTVS,97_7,an open mouth
RIDEO,"31_14, 42_9, 51_5, 53_1, 56_3, 61_219, 64_284",laugh
RIDICVLVS/2,"56_1, 56_4",funny
RIGIDA,56_7,the erect penis
RISVS,"17_7, 39_16",laugh
RITE,64_310,"properly, duly"
RIVALIS/1,57_9,"orig. one who shares the use of a stream (rivus); a rival, esp. in love"
RIVVS,68_58,stream
RIXA,"40_4, 66_13","quarrel, brawl"
ROBIGO,"64_42, 68_151",rust; blight
ROBVR,"64_4, 64_107","an oak tree, oak; the strongest element of anything"
ROBVSTVS,64_332,strong
ROGO,"8_13, 8_14, 13_13, 35_10, 41_7","ask, ask for"
ROGVS,"39_4, 59_3",funeral pyre
ROMA/N,68_34,the city of Rome
ROMVLVS/N,"28_15, 29_5, 29_9, 34_22, 49_1",eponymous founder of Rome
ROSCIDVS,61_24,dewy
ROSEVS,"55_12, 63_74, 64_49, 64_309, 80_1","rosy, red"
ROSTRVM,"64_12, 68_127",the snout or muzzle of an animal; the beak of a bird or ship
RVBEO,3_18,to be or become red
RVBER,"22_7, 67_46",red
RVBOR,"42_16, 65_24","redness, blush"
RVDENS,64_235,"rope, line"
RVDIS/2,64_11,"still in its natural state; inexperienced, untried"
RVFA/N,59_1,woman's cognomen in poem 59
RVFVLVS/N,59_1,dim. of Rufus
RVFVS/N,"69_2, 77_1",man's cognomen
RVINA,23_9,"uncontrollable forward movement; collapse, ruin"
RVMOR,5_2,"rumor, gossip"
RVMPO,"11_20, 80_7","break, rupture, split, burst"
RVO,64_392,rush
RVPES,"61_28, 64_154, 68_53","cliff, crag"
RVRSVS,"22_11, 63_47, 67_5, 68_82",back again; contrariwise
RVS,"22_14, 36_19, 64_38","country, boondocks"
RVSSVS,39_19,red
RVSTICVS/2,"34_19, 54_2","rustic; of the country, rural"
RVTILVS,63_83,"reddish, ruddy (inclining to gold or orange)"
SABINVS/N,"39_10, 44_1, 44_4, 44_5",from the Sabine country northeast of Rome
SACAE/N,11_6,"the Sacae, a Scythian people living east of Bactriana and Sogdiana"
SACCVLVS,13_8,purse
SACER,"7_6, 14_12, 68_75, 71_1","sacred, holy; accursed, detestable"
SACRO,"55_5, 102_3",consecrate; bind with an oath
SACRVM,"17_6, 61_71, 63_24, 64_388","a sacred object or observance, rite"
SAECVLVM,"1_10, 14_23, 43_8, 64_22, 68_43, 78_b_3, 95_6",a generation
SAEPE,"4_12, 59_2, 62_34, 64_24, 64_98, 64_100, 64_124, 64_349, 64_387, 64_390, 64_394, 66_30, 67_41, 68_133, 68_138, 95_8, 110_4, 116_1",often
SAEPIO,62_39,enclose; surround with a wall or hedge
SAETABVS/N,"12_14, 25_7","of or made in Saetabis, a town in Hispania Tarraconensis (cf. mod. Tarragona)"
SAEVITIA,99_6,"savagery, cruelty; violence, ferocity"
SAEVVS,"26_3, 64_101, 64_110, 64_159, 64_169, 64_203, 66_65, 103_2, 103_4","fierce, savage"
SAGITTA,68_113,arrow
SAGITTIFER/2,11_6,arrow–bearing
SAL,"13_5, 16_7, 64_67, 64_128, 86_4","salt; fig., of a quality that gives character and flavor, wit; by metonymy, the sea"
SALAPVTIVM,53_5,unknown epithet said to refer to a person of short stature
SALAX,37_1,oversexed; lascivious
SALILLVM,23_19,a little saltcellar
SALIO/1,17_2,"jump, leap; mount for sexual intercourse"
SALIVA,"23_16, 78_b_2, 99_10","saliva, spit"
SALSVS,"12_4, 64_6","salty, briny; witty, clever"
SALTEM,62_17,"at least, anyhow"
SALTVS/2,"34_11, 114_1, 114_6, 115_4, 115_5",rough woodland broken with glades; a large country estate
SALVEO,"31_12, 43_1, 64_23, 64_23_b, 67_2",greetings! hail!
SALVM,"17_6, 63_16","swell, billow; the sea"
SALVS,76_15,"safety, well–being"
SANCTVS,"34_22, 36_3, 36_12, 63_24, 64_95, 64_228, 64_268, 64_298, 68_5, 76_3, 109_6","holy, sacred, inviolate"
SANE,"10_4, 43_4","surely, decidedly"
SANGVIS,"63_7, 64_230, 64_344, 64_399, 66_34, 66_91, 68_75",blood
SANVS,"41_7, 83_4",healthy; sane; sober
SAPIO,"17_12, 35_7","have a taste; have taste, sense, discernment"
SAPPHICVS/N,35_16,"of Sappho, the 7–6th cent. lyric poet"
SARCINVLA,28_2,a light knapsack
SATIO/2,64_147,satisfy
SATIS/2,"42_15, 67_15, 68_147, 91_8, 91_9, 7_2, 7_10, 23_27, 28_4, 61_132, 61_232, 68_17, 68_38",enough
SATRACHVS/N,95_5,"river in Cyprus, connected with the legend of Smyrna's son Adonis"
SATVR,"21_9, 32_10, 48_4",well–fed; full
SATVRNALIA/N,14_15,"the festival of Saturn, beginning Dec. 17, a period of merriment and license"
SATVRO,"64_220, 68_83","fill, satisfy, sate"
SATYRVS/N,64_252,"a Satyr, demigod of wild places, frequent companion of Bacchus/Dionysus"
SAVCIVS,64_250,"wounded, afflicted"
SAXEVS,64_61,made of stone
SAXVM,66_5,"stone, rock"
SCABER,68_151,"rough, scabrous from disease, scabbed"
SCABIES,47_2,"mange, scab (as term of abuse)"
SCAMANDER/N,64_357,one of the two rivers of Troy
SCANDO,105_1,"mount, climb, ascend"
SCELERO/2,64_404,stain or defile with wicked acts
SCELESTVS,"8_15, 15_15",lying under a curse; (applied pityingly) wretched; wicked
SCELVS,"64_397, 88_4, 88_7, 91_10","crime, iniquity; a wicked act"
SCILICET,14_13,"clearly, evidently, no doubt"
SCINDO,112_2,split
SCIO,"5_11, 5_13, 29_19, 61_146, 67_17, 68_52, 68_85, 88_4, 93_2",know
SCOMBER,95_8,mackerel
SCOPVLVS,64_244,a projecting rock or cliff
SCORTILLVM,10_3,"chippy, little bimbo (dim. of scortum)"
SCORTVM,6_5,"skin, hide; prostitute, courtesan, bimbo"
SCRIBO,"22_16, 37_10, 50_4, 68_27, 70_4","write; mark up, inscribe with drawings"
SCRINIVM,14_18,a cylindrical wooden box for holding rolled books (volumina)
SCRIPTOR,"68_7, 68_33",writer
SCRIPTVM,"36_7, 44_18","writings, works (in poetry or prose)"
SCVRRA,22_12,a fashionable man about town
SCYLLA/N,"60_2, 64_156",a cliff–dwelling monster in the Straights of Messina (between Italy and Sicily) who devours sailors on passing ships; Charybdis is on the other side of the strait
SECEDO/1,64_189,withdraw
SECO,71_2,cut; (transf.) torment
SECRETVS,62_39,"set apart, remote, secluded, secret"
SECTA,63_15,"a line of movement or action; a line of teaching; way of life, occupation."
SECTOR/2,8_10,"follow constantly; pursue, chase"
SECVBITVS,64_380,a sleeping apart; the action of sleeping apart from one's spouse or love
SECVBO,61_105,sleep apart (from one's spouse)
SECVNDVS/1,"4_21, 64_222, 68_64, 5_8, 29_18","going along with, following; hence (of a wind) favorable; second"
SECVRIS,17_19,axe
SED,"3_9, 4_25, 8_11, 10_33, 11_19, 13_9, 14_10, 16_10, 17_2, 17_18, 21_2, 21_13, 22_21, 24_2, 24_8, 28_11, 32_7, 42_15, 42_21, 44_5, 44_20, 50_11, 51_9, 55_13, 61_94, 61_106, 61_109, 61_119, 61_143, 61_147, 61_178, 61_199, 61_214, 62_51, 63_39, 64_68, 64_116, 64_141, 64_141, 64_147, 64_164, 64_200, 64_223, 64_326, 64_339, 64_397, 65_15, 66_22, 66_29, 66_42, 66_61, 66_69, 66_84, 66_87, 66_92, 67_16, 67_23, 67_35, 67_39, 68_11, 68_19, 68_45, 68_99, 68_117, 68_129, 68_145, 70_3, 72_4, 72_8, 78_b_1, 79_3, 83_5, 84_12, 85_2, 91_5, 104_4, 110_6, 111_3, 113_3, 115_8","disjunctive conj., but"
SEDEO,"37_6, 51_3, 52_2",sit
SEDES,"64_43, 64_48, 64_85, 64_160, 64_176, 64_229, 64_292, 64_303, 66_88, 67_4, 68_35, 81_3","seat, place, home"
SEGES,48_6,a field or crop of standing grain
SELLA,52_2,seat; chair of office
SEMEL,"5_5, 68_130","a single time, once; once and for all"
SEMEN/1,"67_26, 113_4","seed; semen, sperm"
SEMIHIANS,61_220,half–open
SEMILAVTVS,54_2,half–washed
SEMIMORTVVS,50_15,half–dead
SEMIRASVS,59_5,partly shaven
SEMITARIVS,37_16,of or associated with byways and alleys
SEMPER,"61_215, 62_33, 63_90, 64_315, 65_11, 65_12, 66_75, 66_87, 66_88, 68_127, 92_1, 110_1","always, forever"
SENECTA,64_217,old age
SENECTVS/1,108_1,old age
SENEO,4_26,to be old
SENESCO,62_56,"grow old, age"
SENEX/1,"5_2, 25_3, 54_5, 67_4, 67_6",old man
SENEX/2,61_186,"old man, codger"
SENSVS,"51_6, 64_165, 64_189, 66_25",sensation; any of the senses; conciousness
SENTIO,"17_20, 63_6, 64_21, 67_16, 83_3, 85_2","perceive, sense, feel"
SEPELIO,"68_22, 68_94, 68_99",buried
SEPTEMGEMINVS,11_7,"sevenfold; having seven mouths (e.g., the Nile)"
SEPTIMILLVS/N,45_13,dim. of Septimus
SEPTIMIVS/N,"45_1, 45_21, 45_23",Roman nomen gentile
SEPVLCRETVM,59_2,"cemetary, graveyard"
SEPVLCRVM,"7_6, 64_368, 68_89, 68_97, 96_1","tomb, sepulcher"
SEQVOR,"28_7, 63_19, 63_34, 64_181, 64_326, 68_36",follow
SERAPIS/N,10_26,"Egyptian god popular in the Roman world; the temple of Serapis, where Romans went for faith healing"
SERENVS,55_8,"clear, unclouded; calm, untroubled"
SERMO,"10_6, 64_144","talk, informal speech, conversation; topic of conversation"
SERO/3,64_72,"sow, plant"
SERO/4,66_68,late
SERPENS,64_258,snake
SERTVM,6_8,chains or festoons of flowers
SERVA,64_161,female slave or servant
SERVIO,"45_14, 61_134, 61_158, 67_3, 67_5","w/ dat., serve, be subject to"
SERVM/1,80_8,"whey; any fluid similar in appearance, e.g., semen"
SERVS,68_120,late
SERVVS/1,"23_1, 24_5, 24_8, 24_10",male slave or servant
SESQVIPEDALIS,97_5,one and a half feet long
SESSOR,37_8,one who sits
SESTERTIVS/1,"23_26, 103_1","a sesterce, a small silver coin, originally equal to two and a half asses"
SESTIANVS/N,44_10,of Sestius
SESTIVS/N,"44_19, 44_20",name of a Roman gens
SEV/1,"44_1, 44_1, 44_5, 67_26, 11_6, 13_10, 82_4",or if; whether … or (see sive) 
SEVERVS,"27_6, 5_2","austere, stern, strict, grave"
SEVOCO,65_2,"call one apart from, draw aside; separate"
SI/2,"13_2, 13_3, 13_6, 14_8, 14_17, 14_b_1, 15_3, 15_14, 16_8, 17_20, 17_24, 21_9, 22_13, 23_13, 23_22, 30_11, 32_4, 32_9, 35_7, 35_11, 36_4, 36_17, 39_2, 39_4, 39_10, 42_5, 42_14, 42_16, 42_23, 44_18, 48_2, 48_5, 51_2, 54_4, 55_1, 55_18, 55_21, 56_6, 58_b_1, 58_b_2, 61_96, 62_37, 62_54, 64_158, 64_228, 66_35, 66_41, 66_73, 68_31, 68_40, 68_86, 68_147, 69_3, 70_2, 71_1, 71_2, 74_2, 75_3, 75_4, 76_1, 76_17, 76_17, 76_19, 79_4, 82_1, 82_2, 83_3, 84_1, 88_8, 90_4, 96_1, 97_11, 98_1, 98_3, 98_5, 102_1, 103_1, 103_3, 104_3, 107_1, 108_1","conj., if"
SIBILVM,4_12,"any sibilant sound; hissing, whistling"
SIC,"14_16, 17_5, 22_5, 24_6, 38_6, 45_13, 55_9, 62_8, 62_45, 62_56, 64_110, 64_169, 64_246, 64_276, 77_4, 80_7, 84_5, 84_5, 84_6, 86_2","in this way, so, thus"
SICCO,68_110,"dry, drain"
SICCVS,"23_12, 43_3",dry
SICINE,"64_132, 64_134, 77_3",sic + interrog. –ne: is this the way?
SICVLA,67_21,a small dagger; (metaph.) penis
SICVT/1,2_9,"conj., in the same way as"
SIDVS,"7_7, 61_207, 64_206, 64_329, 66_4, 66_64, 66_73, 66_89, 66_93","star, planet, constellation"
SIGNVM,"64_210, 64_222, 92_3","sign, signal"
SILENVS/N,64_252,"an attendant of Bacchus, usually represented as old, fat, and drunken"
SILESCO,46_3,"become silent, grow quiet"
SILEX,"23_4, 63_5, 64_296",any hard rock; flint
SILO/N,103_1,cognomen
SILVA,"4_11, 34_10, 63_3, 64_286, 115_5","forest, wood"
SILVESTRIS,64_279,of the forest
SILVICVLTRIX,63_72,"adj., living in the forest"
SIMILIS,61_221,"similar to, like"
SIMONIDEVS/N,38_8,of Simonides of Ceos
SIMVL/1,"4_21, 11_14, 11_18, 46_10, 50_13, 55_6, 58_b_6, 61_36, 62_65, 63_12, 63_13, 63_19, 63_31, 64_78, 64_300, 68_101, 68_155, 21_5, 22_15, 51_6, 63_27, 63_45, 64_31, 64_366, 99_7, 64_12, 64_86, 64_147, 64_233","at the same time, tohether, as well; conj., as soon as"
SINCERE,109_4,"without impairment, falsehood, or dishonesty"
SINE,"13_4, 61_61, 61_66, 61_213, 63_6, 63_36, 63_44, 63_46, 64_290, 66_34, 97_5","prep. w/ abl., without"
SINGVLTVS,64_131,sob
SINGVLVS,"86_2, 113_4","one apiece; taken separately, individual"
SINISTER,"12_1, 29_15","left; harmful, perverse, misguided"
SINISTRA/1,"45_8, 45_17, 47_1","the left hand, (traditionally used in thieving)"
SINO,"17_17, 24_6, 30_10, 48_2, 61_158, 64_222, 66_91, 88_3",leave alone; allow
SINVS,"2_2, 4_9, 37_11, 44_14, 61_53, 63_43","the cavity or fold produced by the looping of a garment (OLD); breast; bosom, refuge; a curved indentation in the coastline such as a bay or gulf"
SIRMIO/N,"31_1, 31_12","mod. Sermione, a long promontory running out into Lacus Benacus (mod. Lago di Garda)"
SISTO,64_237,"cause to stand, set; present, hand over"
SITIO,21_11,be thirsty
SITVS/1,25_3,"stagnation, mold, rust, decrepitude"
SIVE/1,"44_5, 67_25, 4_4, 4_5, 4_19, 4_20, 11_2, 11_5, 11_7, 11_9, 76_16, 76_16","conj., or if; whether … or"
SMYRNA/N,"95_1, 95_5, 95_6","Smyrna, city in Asia Minor (mod. Izmir); title of historical poem by C Helvius Cinna"
SOCCVS,61_10,a loose shoe or slipper worn by women
SOCER,29_24,father–in–law
SOCIVS/2,57_9,"partner, companion, colleague"
SOCRATION/N,47_1,dim. of Socrates; unknown addressee in poem 47
SODALICIVM,100_4,"club, fraternal organization; partnership"
SODALIS/1,"10_29, 12_13, 30_1, 35_1, 47_6, 95_9","crony, buddy, comrade"
SOL,"5_4, 8_3, 8_8, 23_14, 62_41, 63_67, 64_354, 66_3, 63_39, 64_271","the sun, sts. personified as Sol"
SOLACIOLVM,2_7,"solace, comfort (dim. of solacium)"
SOLEA,"17_26, 68_72",sandal
SOLEO,"1_3, 2_4, 23_26, 25_8, 34_23, 39_18, 41_8, 61_91, 63_52, 64_79, 64_386, 67_40, 68_154, 74_1, 97_8, 113_1","to be accustomed (to); (euphemistic, w/ acc.) to ""know,"" i.e., be sexually intimate with"
SOLIVM,64_45,"a high–backed chair, throne"
SOLLERS,64_294,"clever, skilled, ingenious, resourceful"
SOLLICITVS,66_24,"restless, troubled, anxious"
SOLOR,38_5,"comfort, give solace to"
SOLVM/1,"63_7, 63_40, 68_100, 68_110","base, floor; (sts. pl.) soil, earth, ground"
SOLVM/2,"66_59, 67_31, 83_5",only
SOLVO,"2_b_3, 31_7, 36_2, 61_53, 64_350, 64_367, 67_28","loosen, untie, dislodge, cast off; discharge, fulfill (a vow)"
SOLVS,"3_10, 37_3, 37_4, 45_6, 61_147, 62_64, 64_57, 64_154, 64_184, 64_200, 64_299, 67_42, 68_129, 72_1, 111_1","only, alone, lonely"
SOMNVS,"50_10, 63_36, 64_56, 64_122, 64_331, 68_5, 63_42","sleep, sts. personified as Somnus"
SONIPES/1,63_41,a horse
SONITVS,"51_10, 63_74",sound
SONO/1,"34_12, 63_21, 64_273",make a sound
SOPIO,37_10,penis
SOPOR,63_37,sleep
SORDEO,61_136,"be dirty; seem unworthy, not good enough"
SORDIDVS,12_5,"dirty, squalid, shabby, unbecoming, tacky, sordid"
SOROR,"64_290, 64_301, 64_325, 66_51, 88_1, 89_2, 100_3",sister
SOSPES,"64_112, 64_211",safe
SOSPITO,34_24,"preserve, defend"
SPATIVM,63_90,"racetrack; area, space, extent"
SPECTO,"51_4, 64_267","look at, watch"
SPECVLA/1,67_32,look–out point
SPECVS,61_28,cave or grotto
SPERNO,"23_25, 64_386","scorn, spurn, reject"
SPERO,"64_140, 64_144, 64_180, 64_380, 67_44, 84_3, 91_1","hope, hope for; anticipate"
SPES,"64_177, 64_186",hope
SPINOSVS,64_72,"thorny, prickly"
SPLENDEO,64_44,"shine, be bright, glitter"
SPLENDIDVS,"61_78, 64_46","brilliant, bright, glittering"
SPONSVS/1,65_19,a lover who has promised marriage; fiancé
SPVMA,64_13,foam
SPVMO,"64_155, 68_3","foam, froth"
SPVMOSVS,64_121,foamy
SPVRCO,108_2,"morally contaminated, depraved"
SPVRCVS,"78_b_2, 99_10","filthy, foul, disgusting"
SQVALIDVS,64_42,rough; filthy
STABVLVM,63_53,"stable, fold, shed; lair, den"
STADIVM,63_60,a running track
STAGNVM/1,31_2,"any expanse of standing water: pool, lagoon, lake"
STATIM,32_9,immediately
STATVA,81_4,statue
STATVO,68_37,"set up, set, stand; decide"
STELLA,66_2,star
STERILIS,"63_69, 67_26",incapable of procreation
STERNVO,"45_9, 45_18",sneeze
STIMVLO,"63_4, 63_77","to goad on; incite, rouse, excite"
STIPENDIVM,64_173,payment
STIPES,64_289,tree trunk
STIRPS,61_68,"stem, stalk, family, offspring"
STO,"4_16, 17_3, 61_93",stand
STOLIDVS,17_24,"dull, stupid, inert"
STRIDEO,64_264,"make a shrill, strident sound"
STROPHIVM,64_65,a twisted band supporting a woman's breast
STRVMA,52_2,a swelling of the lymphatic glands; a person deformed by such swelling
STVDEO,93_1,concentrate on
STVDIOSVS,116_1,"zealous, eager, diligent"
STVDIVM,"46_8, 68_19, 68_26, 68_44","zeal, ardor, eagerness, enthusiasm; pursuit, pastime"
STVLTVS,"68_137, 78_5","stupid, foolish"
STVPOR,17_21,"numbness, lethargy, paralysis, torpor; by metonymy, an insensate person, clod"
STYMPHALIVS/N,68_113,"of Stymphalus, a territory in NE Arcadia, Greece"
SVAVIOLVM,"99_2, 99_14","dim. of suavium, kiss; the lips formed for kissing"
SVAVIOR,"45_12, 9_9",kiss
SVAVIS,"61_7, 13_10, 64_87","agreeable, pleasant"
SVAVIVM,"78_b_2, 79_4",kiss; the lips formed for kissing
SVB,"51_9, 63_71, 64_154, 64_271, 64_354, 65_13, 65_21, 66_5, 66_49, 67_32, 69_6","prep. w/ acc. or abl., under"
SVBDVCO,61_208,"draw up, raise; reckon, calculate"
SVBEO/1,61_168,go beneath
SVBITO,"76_13, 84_10","suddenly, at once, quickly"
SVBLEVO/1,"17_18, 68_4","raise, lift"
SVBLIMIS,68_49,high
SVBMISSVS,64_370,"lowered, submissive"
SVBREPO,"76_21, 77_3","creep up to, steal upon"
SVBSELLIVM,"39_3, 17_6",a courtroom bench
SVBSTERNO,"64_332, 64_403",lay or spread beneath; (of a woman) offer oneself sexually to a man
SVBTEMEN,"64_327, 64_333, 64_337, 64_342, 64_347, 64_352, 64_356, 64_361, 64_365, 64_371, 64_375, 64_378, 64_381","the woof or weft, crossthreads in a loom running at right angles to the vertical threads of the warp"
SVBTER/2,65_7,"prep., below"
SVBTILIS,"54_3, 64_63","fine–textured, delicate"
SVBVRBANVS,44_6,located close to the city
SVCCIPIO,64_104,"take up, take on, undertake (a vow or oath)"
SVCCVMBO,"64_369, 111_3","collapse; (w/ dat.) ""go down,"" lie under or submit to (a man) in the act of sex"
SVDARIVM,"12_14, 25_7","a cloth carried to wipe off sweat (sudor), also used as a napkin"
SVDO,64_106,"sweat, perspire"
SVDOR,"23_16, 68_61","sweat, perspiration"
SVESCO,63_25,"become accustomed; in perf., be accustomed"
SVFFENVS/N,"14_19, 22_1, 22_10, 22_19",name of a Roman poet
SVFFIGO,"67_39, 99_4","to fasten beneath or below , to fasten or fix on , to affix"
SVI/1,"3_8, 4_23, 4_26, 10_7, 10_23, 10_30, 17_18, 22_17, 22_17, 36_4, 36_9, 39_18, 58_3, 61_24, 61_42, 62_12, 62_29, 62_50, 63_5, 63_6, 63_56, 63_85, 64_34, 64_55, 64_57, 64_201, 64_211, 64_244, 64_258, 64_277, 64_343, 64_385, 64_403, 64_408, 66_42, 66_52, 66_84, 67_22, 67_31, 68_70, 68_88, 68_132, 70_1, 70_2, 75_2, 76_2, 78_5, 84_3, 84_9, 87_1, 88_8, 97_9, 106_2, 110_8, 114_2",him–/her–/itself
